Куринная грудка,23,4,0,135
Яичница,6,7,0,89
Варенная греча,3,4,19,120
Хлеб ржаной,4.7,0.7,49,214
Мука ржаная сеяная,6.9,1,66,305
Макаронные изделия в/с вареные,3,1,23,112
Молоко 3.2%,2,3,4,60
Сливки 10%,3,10,4,119
Творог нежирный,22,1,3,110
Творог 5%,21,5,3,145
Творог 9%,18,9,3,169
Творог 18%,15,18,3,236
Сметана 10%,3,10,4,119
Сметана 20%,3,20,3,206
Сметана 30%,2,30,3,293
Кефир нежирный,3,0,4,31
Свинина, вырезка,19,7,0,142
Вобла,18,3,0,95
Горбуша,20,6,0,140
Дорадо,18,3,0,96
Зубатка пестрая,20,5,0,126
Кальмар,18,2,2,100
Камбала дальневосточная,16,3,0,90
Карась,18,2,0,87
Вобла вяленая,46,5,0,235
Горбуша горячего копчения,23,8,0,161
Горбуша соленая,22,9,0,169
Кальмары сушеные,62,2,5,286
Кета соленая,24,10,0,184
Килька балтийская горячего копчения,21,8,0,162
Килька балтийская соленая,17,8,0,137
Килька пряного посола,15,11,0,154
Крабовые палочки,6,1,13,2,82
Икра красная лососевая,32,15,0,263
